actor_id,actor_name
7XjPzadIBQ0mIVwVT7o87B7NkJJ,David Caruso
qATQWUUUdUDVjuyspooYNiUmNJD,Kelsey Grammer
bWQsB6ueNNkygxCiIxyKznQAiOK,Lauren Holly
kVHNFDOGDrC3LjDyYf5RaCd6auK,Rob Schneider
0Dirk Shafer,Dirk Shafer
vrV6Fqwu8jby0DXzg3ldNL7qCjE,Mary Stein
0Claudette Sutherland,Claudette Sutherland
fUj0y9f69EYqWcGgjDhEcHlyzTW,Robert Redford
oGUmQBU87QXAsnaGleYaAjAXSlj,Michelle Pfeiffer
csbVlE1fRdm2GXv4hvwx2zkZm8E,Stockard Channing
iYdeP6K0qz44Wg2Nw9LPJGMBkQ5,Robin Williams
nEYS0KO1qVO3y0RAt8V8pFxnPb7,Nathan Lane
1wreq83h9dgTMkDCJL6uwr6oz45,Gene Hackman
0Shari Albert,Shari Albert
i7L0pBY4dP0VDNoUy7FtHAIbfzc,Maxine Bahns
0Catharine Bolz,Catharine Bolz
tCP58OEUJOAsk2iiBeIDgmbt6y3,Martin Lawrence
eze9FO9VuryXLP0aF2cRqPCcibN,Will Smith
nWqwLS8w72eOMQTDrUiBYrgHxsf,Téa Leoni
h7ZoTwpELoz1IlIgx0ujoA2p9Sp,Stephen Lang
14Og8Pzmk2iSiQ3sazLy70IiJqV,Ryan Slater
0Yi Ding,Yi Ding
wo2hJpn04vbtmh0B9utCFdsQhxM,Leonardo DiCaprio
1lQiN8yggIJ8aGYLp4Nul3ALdXC,Lorraine Bracco
v17uyHhMLooVWKjMRS4NoGeTPyB,James Madio
7tADZs4ILE93oJ5pAh6mKQFEq2m,Alan Rickman
lzCB9YN6MjGosh8v27o6omhSmjL,Hugh Grant
cnZDz6tIPwR4RRfyEVeqqy5kRBC,Georgina Cates
3YQwWkpNKQeV5NUmdCH76Ne1gDP,Isabelle Huppert
wTCmpcmd8mcAbsX6Yc7zFs2J98Q,Martin Donovan
eXw64F0CoDpYo6WBjk1ABeeuATX,Elina Löwensohn
zVyoR2ZNiVGymjZK4MMJHIdpxoW,Tom Hanks
aLdNe6mt1cSi2zWlUYRregzfis5,Bill Paxton
rjX2Oz3tCZMfSwOoIAyEhdtXnTE,Kevin Bacon
r1DRqmZhLrzhTTwg9PtuMMQTvuB,Liam Neeson
xybRNUGzzJuilStFGmIOSy0WFwQ,Jessica Lange
kLW1Q53NRuB0EihduBFX3Lbtcl6,John Hurt
mDhsbC9kjJnwJGHbpquKs8D1IUo,Lili Taylor
ApgDL7nudR9T2GpjCG4vESgymO2,Christopher Walken
jqWODx4bOiHmpiv0jXFhKwxxfnB,Annabella Sciorra
uqX8JxI6bWs1I3BOAtzJJD0DDo6,Val Kilmer
zixpaPmOonRh1I3TWgxDkeGxkrv,Tommy Lee Jones
u0AqTz6Y7GHPCHINS01P7gPvDSb,Jim Carrey
mYZUEAAsQdof0rfvhunpO7C6G4L,Catherine Deneuve
h5lEnLzUVCCVbzVJRpxGJLrWBUX,Jean Sorel
6yZaIIeMfYgQtcdNo4dubL2N5YT,Michel Piccoli
ey1hF8BPRIosiFQekASnkZgOu2h,Patricia Arquette
0U Aung Ko,U Aung Ko
AskZbUslI8HkkbdmwyAXHjmQqPg,Frances McDormand
nmhafZ605lZjs1CLcr9nSletOSd,Harvey Keitel
lWFiXdQtYHqr2EXnk5nhDFm36XF,Lou Reed
jdHYYovf6ZGEMKnV7niaiHY1MSt,Michael J. Fox
xOoA2gFdnl0qe9esbG0FJvCY0Fh,John Candy
a5tOOHdsrKSabKwdzDOYqeTp446,Alan Alda
utg7mKbhNvxRWfWBwSb27tQTaOE,Rhea Perlman
dzB58d6fNrTEi7nBAU1tySJc2at,Christina Ricci
6VRnvxHeXPdN0hurWbQPNIHqR1n,Bill Pullman
yvMbpZ0UFQ1IBwlWm8quCA6fNc5,Devon Sawa
nmhafZ605lZjs1CLcr9nSletOSd,Harvey Keitel
6O9W9cJW0kCqMzYeLupV9oH0ftn,John Turturro
kLwUBBmEIdchrLqwsYzgLB2B6q5,Delroy Lindo
h6i3fZoFuKxDZ4u29wZnjJ2r5Tq,Laura Linney
6rOQgNjIJUqXDiM06K2hrL68Eky,Dylan Walsh
kgAdQA2ItCDVvKXufeDHc6Omiso,Ernie Hudson
cEU2Vrdo83izpGmOvbVAOz5jCof,Denzel Washington
1wreq83h9dgTMkDCJL6uwr6oz45,Gene Hackman
AboGkEDZnV4SJvqXdEXNL6qoZLn,Matt Craven
5KI5OZKVEa6TLkGeN0xITOLhWN3,Robert Crumb
0Aline Kominsky,Aline Kominsky
0Charles Crumb,Charles Crumb
50GhCzQuaI5Ul01NEyJZloeVP7g,Antonio Banderas
a1VhN6kvw4tuRrIvGnvAjHAWnD5,Salma Hayek
5TLi0mVLo7GsRHBI1qY4eq4IDdK,Joaquim de Almeida
